shift,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21
-124,217.00657761096954,219.40683960914612,217.00657761096954,219.40683960914612,216.95544165372849,215.2330899834633,217.14561796188354,215.99320936203003,215.96094471216202,216.43430304527283,216.0720688700676,215.31860256195068,216.1275361776352,216.83275747299194,215.33269649744034,217.21270233392715,216.58002853393555,216.0306352376938,216.1448037624359,215.41357630491257
-123,217.0123506784439,219.4096792936325,217.0123506784439,219.4096792936325,216.98300909996033,215.2302889227867,217.15786451101303,215.99636721611023,215.93956875801086,216.44237953424454,216.0710221529007,215.33794051408768,216.13760250806808,216.8204430937767,215.35425716638565,217.22088342905045,216.60984671115875,216.03673207759857,216.13655334711075,215.4084147810936
-122,217.01506626605988,219.4114425778389,217.01506626605988,219.4114425778389,217.0110689997673,215.22417151927948,217.17576664686203,216.00433897972107,215.91877055168152,216.44609433412552,216.07241278886795,215.3655417561531,216.14746749401093,216.80634880065918,215.37921833992004,217.23136311769485,216.64198619127274,216.04670721292496,216.13483691215515,215.39789992570877
-121,217.01417326927185,219.41253489255905,217.01417326927185,219.41253489255905,217.03832519054413,215.2167984843254,217.19902223348618,216.0165075659752,215.89980167150497,216.44553065299988,216.07830560207367,215.40060871839523,216.1572384238243,216.7923823595047,215.40611630678177,217.24374574422836,216.6758395433426,216.05981427431107,216.14043080806732,215.38229703903198
-120,217.0102807879448,219.4133059978485,217.0102807879448,219.4133059978485,217.06370544433594,215.2106575369835,217.2274084687233,216.03204917907715,215.8839875459671,216.44062280654907,216.09007531404495,215.44164663553238,216.1674457192421,216.78091102838516,215.43369007110596,217.25717931985855,216.71088671684265,216.0750377178192,216.15338015556335,215.36242830753326
-119,217.00418281555176,219.41423124074936,217.00418281555176,219.41423124074936,217.08607000112534,215.20896768569946,217.25983083248138,216.0495355129242,215.8722734451294,216.4317786693573,216.1081966161728,215.48684775829315,216.1790241599083,216.77358204126358,215.46052038669586,217.27052235603333,216.74686759710312,216.0912864804268,216.17328870296478,215.34068423509598
-118,216.99637180566788,219.415884912014,216.99637180566788,219.415884912014,217.1051368713379,215.21357160806656,217.29506254196167,216.0666851401329,215.86562651395798,216.41911137104034,216.13215845823288,215.5344684123993,216.19216722249985,216.77144545316696,215.48504745960236,217.28284406661987,216.78336429595947,216.10752141475677,216.1994618177414,215.3189793229103
-117,216.98751562833786,219.41903221607208,216.98751562833786,219.41903221607208,217.12147331237793,215.225182056427,217.33171546459198,216.08132874965668,215.86437267065048,216.4031935930252,216.16038650274277,215.582688331604,216.20709735155106,216.77534598112106,215.50583428144455,217.29390513896942,216.81943476200104,216.12411749362946,216.23101514577866,215.29883754253387
-116,216.97845882177353,219.42439877986908,216.97845882177353,219.42439877986908,217.13606548309326,215.24347484111786,217.36881816387177,216.09201806783676,215.86819106340408,216.38496732711792,216.19040912389755,215.62965482473373,216.2243953347206,216.78543680906296,215.522391974926,217.3033459186554,216.85425293445587,216.14110028743744,216.26705998182297,215.28151559829712
-115,216.96999901533127,219.43241161108017,216.96999901533127,219.43241161108017,217.15034472942352,215.2678626179695,217.4049470424652,216.09652030467987,215.8761686682701,216.3659844994545,216.21979302167892,215.6737111210823,216.24431735277176,216.80173873901367,215.5344517827034,217.31103801727295,216.8868807554245,216.15819543600082,216.30662322044373,215.26720190048218
-114,216.96283376216888,219.44290006160736,216.96283376216888,219.44290006160736,217.16572904586792,215.29794466495514,217.43875795602798,216.09362721443176,215.88689416646957,216.3478474020958,216.24754637479782,215.71351873874664,216.26713293790817,216.82417505979538,215.54196447134018,217.3168928027153,216.91648322343826,216.17470586299896,216.34873700141907,215.2557075023651
-113,216.95700174570084,219.45536041259766,216.95700174570084,219.45536041259766,217.18317699432373,215.3332023024559,217.4689655303955,216.08314383029938,215.89888125658035,216.33220648765564,216.27321296930313,215.7480109333992,216.29254388809204,216.85224598646164,215.54606157541275,217.3203303217888,216.94237345457077,216.19026654958725,216.39265513420105,215.24697452783585
-112,216.95239865779877,219.4687695503235,216.95239865779877,219.4687695503235,217.20346021652222,215.37291741371155,217.49417918920517,216.06512582302094,215.91102731227875,216.32069039344788,216.29612976312637,215.77632200717926,216.32016146183014,216.8852962255478,215.54908555746078,217.32056230306625,216.9635912179947,216.2047867178917,216.43754917383194,215.24045103788376
-111,216.94890677928925,219.48165982961655,216.94890677928925,219.48165982961655,217.22652262449265,215.4156774878502,217.51340210437775,216.04006999731064,215.9231477379799,216.3141759634018,216.31577515602112,215.79783630371094,216.34928792715073,216.92254960536957,215.55258560180664,217.31752508878708,216.9791145324707,216.2187455892563,216.48264634609222,215.23526453971863
-110,216.9463055729866,219.4931629896164,216.9463055729866,219.4931629896164,217.25116556882858,215.4598137140274,217.52633011341095,216.00934678316116,215.93606477975845,216.3127252459526,216.331214427948,215.81219744682312,216.37863755226135,216.9625307917595,215.55771601200104,217.31202948093414,216.98876583576202,216.2321633696556,216.52708345651627,215.23236060142517
-109,216.94382762908936,219.50313222408295,216.94382762908936,219.50313222408295,217.27617233991623,215.50323677062988,217.53377401828766,215.97480714321136,215.95095133781433,216.31538772583008,216.34131050109863,215.8195248246193,216.4072128534317,217.00370228290558,215.56568491458893,217.30514979362488,216.99326592683792,216.24518203735352,216.57002764940262,215.2332193851471
-108,216.94084656238556,219.51135516166687,216.94084656238556,219.51135516166687,217.29985982179642,215.54429936408997,217.53716498613358,215.9382650256157,215.96787935495377,216.32066822052002,216.34485322237015,215.82002007961273,216.43411260843277,217.0448597073555,215.57707011699677,217.29849922657013,216.99313133955002,216.25825476646423,216.61122125387192,215.23777079582214
-107,216.93642550706863,219.5177012681961,216.93642550706863,219.5177012681961,217.32084518671036,215.58196836709976,217.53824883699417,215.90193623304367,215.9860953092575,216.32677507400513,216.341374874115,215.81489676237106,216.45842403173447,217.0846471786499,215.5925145149231,217.29428279399872,216.9887888431549,216.27194714546204,216.6506947875023,215.24548482894897
