overlap_fraction,overlap_percent,pair_name,expected_shift,best_shift,signed_error,abs_error,peak_corr,status
0.7,70.0,pair_22,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.78324741125107,ok
0.7,70.0,pair_23,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.31785780191422,ok
0.7,70.0,pair_24,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.47230517864227,ok
0.7,70.0,pair_25,60.00000000000001,60.0,-7.105427357601002e-15,7.105427357601002e-15,219.98442900180817,ok
0.72,72.0,pair_00,56.00000000000001,55.0,-1.000000000000007,1.000000000000007,219.21478617191315,ok
0.74,74.0,pair_00,52.0,51.0,-1.0,1.0,219.65648847818375,ok
0.75,75.0,pair_00,50.0,49.0,-1.0,1.0,219.5363221168518,ok
0.75,75.0,pair_01,50.0,49.0,-1.0,1.0,220.06232899427414,ok
0.75,75.0,pair_02,50.0,49.0,-1.0,1.0,220.43748486042023,ok
0.75,75.0,pair_03,50.0,49.0,-1.0,1.0,219.51185739040375,ok
0.75,75.0,pair_04,50.0,49.0,-1.0,1.0,219.71695351600647,ok
0.75,75.0,pair_05,50.0,49.0,-1.0,1.0,220.3845176100731,ok
0.75,75.0,pair_06,50.0,49.0,-1.0,1.0,220.31969928741455,ok
0.75,75.0,pair_07,50.0,49.0,-1.0,1.0,222.27698689699173,ok
0.75,75.0,pair_08,50.0,49.0,-1.0,1.0,220.65703409910202,ok
0.75,75.0,pair_09,50.0,49.0,-1.0,1.0,220.52964735031128,ok
0.75,75.0,pair_10,50.0,49.0,-1.0,1.0,219.7945401072502,ok
0.75,75.0,pair_11,50.0,49.0,-1.0,1.0,221.31963390111923,ok
0.75,75.0,pair_12,50.0,49.0,-1.0,1.0,220.2418133020401,ok
0.75,75.0,pair_13,50.0,49.0,-1.0,1.0,218.6907560825348,ok
0.75,75.0,pair_14,50.0,49.0,-1.0,1.0,220.96946543455124,ok
0.76,76.0,pair_00,48.0,47.0,-1.0,1.0,220.19420385360718,ok
0.78,78.0,pair_00,43.99999999999999,43.0,-0.9999999999999929,0.9999999999999929,220.2083356976509,ok
0.8,80.0,pair_00,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.15842360258102,ok
0.8,80.0,pair_01,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.6776471734047,ok
0.8,80.0,pair_02,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.15842360258102,ok
0.8,80.0,pair_03,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.6776471734047,ok
0.8,80.0,pair_04,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.84294766187668,ok
0.8,80.0,pair_05,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,220.72626674175262,ok
0.8,80.0,pair_06,39.99999999999999,40.0,7.105427357601002e-15,7.105427357601002e-15,220.65493458509445,ok
0.8,80.0,pair_07,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.15609341859818,ok
0.8,80.0,pair_08,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.5423521399498,ok
0.8,80.0,pair_09,39.99999999999999,40.0,7.105427357601002e-15,7.105427357601002e-15,221.03561383485794,ok
0.8,80.0,pair_10,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,220.95413541793823,ok
0.8,80.0,pair_11,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.4656417965889,ok
0.8,80.0,pair_12,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.38685220479965,ok
0.8,80.0,pair_13,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.4931316971779,ok
0.8,80.0,pair_14,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.49938863515854,ok
0.8,80.0,pair_15,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,220.6455208659172,ok
0.8,80.0,pair_16,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.6014923453331,ok
0.8,80.0,pair_17,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,220.78957259655,ok
0.8,80.0,pair_18,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,222.12830710411072,ok
0.8,80.0,pair_19,39.99999999999999,39.0,-0.9999999999999929,0.9999999999999929,221.8535333275795,ok
0.82,82.0,pair_00,36.00000000000001,35.0,-1.000000000000007,1.000000000000007,222.2932693362236,ok
0.84,84.0,pair_00,32.00000000000001,31.0,-1.000000000000007,1.000000000000007,221.88179218769073,ok
0.85,85.0,pair_02,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.46451115608215,ok
0.85,85.0,pair_03,30.000000000000004,30.0,-3.552713678800501e-15,3.552713678800501e-15,222.6292160153389,ok
0.85,85.0,pair_04,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.52831745147705,ok
0.85,85.0,pair_05,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.49007034301758,ok
0.85,85.0,pair_06,30.000000000000004,30.0,-3.552713678800501e-15,3.552713678800501e-15,222.78012746572495,ok
0.85,85.0,pair_07,30.000000000000004,30.0,-3.552713678800501e-15,3.552713678800501e-15,222.7714751958847,ok
