shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10
46,214.9774923324585,219.79356563091278,217.56105089187622,215.88390827178955,213.9723390340805,216.874594271183,217.85629320144653,213.94950306415558,214.3350847363472,216.04741525650024,216.7829070687294
47,214.98672479391098,219.78801810741425,217.56120842695236,215.88641160726547,213.971082508564,216.84506684541702,217.8413087129593,213.95047348737717,214.33750277757645,216.0332426428795,216.79839462041855
48,214.99374109506607,219.78088748455048,217.55961591005325,215.88870877027512,213.96612751483917,216.81592279672623,217.8260503411293,213.9478787779808,214.33491080999374,216.01984310150146,216.80862659215927
49,214.99887108802795,219.77224004268646,217.5554774403572,215.89048957824707,213.95818501710892,216.7890944480896,217.8102902173996,213.94126975536346,214.32644498348236,216.00772613286972,216.8127288222313
50,215.0024065375328,219.76229071617126,217.5476084947586,215.8912963271141,213.94847065210342,216.76628410816193,217.7938336133957,213.93026489019394,214.31168174743652,215.99701821804047,216.81047159433365
51,215.0044545531273,219.75135791301727,217.53492242097855,215.89059901237488,213.93848884105682,216.74919247627258,217.77685242891312,213.9147468805313,214.29050344228745,215.98746180534363,216.80241656303406
52,215.0050932765007,219.73994833230972,217.5167514681816,215.8878594636917,213.9299590587616,216.73918986320496,217.75968992710114,213.89498567581177,214.26326602697372,215.97874426841736,216.78935486078262
53,215.00472843647003,219.7286092042923,217.492861866951,215.88287448883057,213.92427361011505,216.73706847429276,217.74294865131378,213.87211453914642,214.23118525743484,215.97037017345428,216.7725674510002
54,215.00403666496277,219.71797513961792,217.46371817588806,215.87567514181137,213.92249244451523,216.74288088083267,217.72733384370804,213.84740924835205,214.19587409496307,215.96130800247192,216.7536257505417
55,215.00364756584167,219.7087196111679,217.4304257631302,215.86637669801712,213.9248570203781,216.7562853693962,217.71352130174637,213.8226374387741,214.15916949510574,215.9502928853035,216.7340075969696
56,215.00386899709702,219.70145177841187,217.39446449279785,215.8550636768341,213.9315328001976,216.77640008926392,217.70189994573593,213.79962998628616,214.12284165620804,215.93596225976944,216.71499752998352
57,215.00502586364746,219.69647473096848,217.35735034942627,215.8418329358101,213.94154804944992,216.80197483301163,217.69269424676895,213.78022772073746,214.08841228485107,215.9172402024269,216.6973894238472
58,215.0074983239174,219.6940494775772,217.32050573825836,215.82661283016205,213.95348644256592,216.83162933588028,217.68595468997955,213.76584434509277,214.05704367160797,215.89359498023987,216.68154913187027
59,215.01125192642212,219.69426876306534,217.28523886203766,215.80928552150726,213.96550500392914,216.86387568712234,217.68157082796097,213.75755685567856,214.0296350121498,215.8650488257408,216.66783714294434
60,215.01541447639465,219.69680964946747,217.25241363048553,215.78989279270172,213.9756571650505,216.89731496572495,217.679505944252,213.75577449798584,214.0067486166954,215.832625746727,216.65618562698364
61,215.01870393753052,219.7011535167694,217.2228947877884,215.76852416992188,213.9823852777481,216.93087661266327,217.68019098043442,213.76071280241013,213.988838493824,215.79774755239487,216.646131336689
62,215.0197737812996,219.70659339427948,217.19720417261124,215.74547666311264,213.9847047328949,216.9638296365738,217.68393450975418,213.77237743139267,213.9765505194664,215.76198583841324,216.637280523777
63,215.01747304201126,219.7124035358429,217.17556697130203,215.72181636095047,213.98222434520721,216.99586886167526,217.69079023599625,213.7906797528267,213.9699084162712,215.72654461860657,216.62936794757843
64,215.01115834712982,219.71769309043884,217.15801978111267,215.69891333580017,213.97494447231293,217.02663397789001,217.7006304860115,213.81529819965363,213.96863913536072,215.6923906803131,216.62237453460693
65,215.00050711631775,219.72176468372345,217.14464497566223,215.67809998989105,213.96345603466034,217.0555698275566,217.71305292844772,213.84574043750763,213.97220438718796,215.65988582372665,216.61640667915344
66,214.98536199331284,219.72410947084427,217.1355009675026,215.66031229496002,213.9481961131096,217.08218783140182,217.72758531570435,213.8814333677292,213.97972667217255,215.62928050756454,216.61158722639084
