shift,pair_00,pair_01,pair_02
13,217.36811363697052,216.10483247041702,218.45382207632065
14,217.39959448575974,216.0890616774559,218.4839836359024
15,217.42676842212677,216.07626527547836,218.5142746567726
16,217.44810342788696,216.0668510198593,218.5436760187149
17,217.46225625276566,216.06139355897903,218.57106220722198
18,217.46834361553192,216.060376226902,218.5954623222351
19,217.4658694267273,216.06392121315002,218.6160004734993
20,217.4549812078476,216.07187348604202,218.63197594881058
21,217.43626356124878,216.08391046524048,218.6429158449173
22,217.41085648536682,216.0995570421219,218.6485550403595
23,217.38022601604462,216.11795389652252,218.64892369508743
24,217.34585571289062,216.13838326931,218.64421659708023
25,217.30900877714157,216.16003715991974,218.63476741313934
26,217.27084815502167,216.18204164505005,218.62131816148758
