shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12
-141,217.34997272491455,215.90360987186432,216.82246327400208,215.8997681736946,217.2226917743683,215.3666319847107,218.3461795449257,215.5681937932968,216.91288101673126,214.99276906251907,216.3653084039688,215.10862851142883,214.0356683731079
-140,217.34813302755356,215.88252174854279,216.81971889734268,215.89418423175812,217.24930113554,215.37474071979523,218.35630708932877,215.57816445827484,216.92671024799347,214.955002784729,216.34347659349442,215.08069920539856,214.05305743217468
-139,217.34897577762604,215.8636036515236,216.8182805776596,215.88788414001465,217.27397859096527,215.38293534517288,218.36605823040009,215.5803017616272,216.93635547161102,214.91922599077225,216.319673538208,215.04937928915024,214.07115161418915
-138,217.35355359315872,215.84633737802505,216.8173503279686,215.88267642259598,217.29651522636414,215.39246487617493,218.37640941143036,215.57520598173141,216.9412687420845,214.88685142993927,216.29519724845886,215.0158823132515,214.08857560157776
-137,217.36257588863373,215.8305379152298,216.81634503602982,215.88096344470978,217.3169077038765,215.40453505516052,218.3875179886818,215.56424915790558,216.94191473722458,214.85782450437546,216.27194201946259,214.98130136728287,214.10347110033035
-136,217.37669640779495,215.81596785783768,216.81459563970566,215.88408440351486,217.3353572487831,215.42027628421783,218.3996467590332,215.54785072803497,216.93857371807098,214.8320191502571,216.25119578838348,214.94657808542252,214.11509746313095
-135,217.39677339792252,215.80236154794693,216.81193858385086,215.8928506374359,217.35233134031296,215.4397892355919,218.41243487596512,215.526859998703,216.93144065141678,214.8094583749771,216.2332587838173,214.91226470470428,214.1225102543831
-134,217.4233911037445,215.78960251808167,216.80880916118622,215.9083462357521,217.36799949407578,215.46249651908875,218.42493343353271,215.50173205137253,216.92099207639694,214.78996789455414,216.2179992198944,214.8789927959442,214.12535494565964
-133,217.456492125988,215.7784492969513,216.80608743429184,215.9315321445465,217.38253939151764,215.4868580698967,218.4361338019371,215.47377252578735,216.90853643417358,214.77442127466202,216.20505225658417,214.8477572798729,214.123309135437
-132,217.4957754611969,215.7694582939148,216.80492943525314,215.96254360675812,217.39622175693512,215.51025873422623,218.4454971551895,215.4439388513565,216.89552301168442,214.76397693157196,216.19393521547318,214.8201403617859,214.1153199672699
-131,217.54029738903046,215.76288163661957,216.80671286582947,216.00081223249435,217.40987503528595,215.52996039390564,218.45268255472183,215.41330742835999,216.88346540927887,214.7594017982483,216.18409502506256,214.7970916032791,214.10134768486023
-130,217.58881098031998,215.75976967811584,216.8125034570694,216.04527455568314,217.42393100261688,215.5438739657402,218.45695567131042,215.38361597061157,216.87377905845642,214.76018863916397,216.17477935552597,214.7796133160591,214.08188205957413
-129,217.6393884420395,215.76087486743927,216.82252609729767,216.09444838762283,217.43847435712814,215.55072498321533,218.45767545700073,215.35605853796005,216.8675718307495,214.7664014697075,216.16507869958878,214.76842439174652,214.05851370096207
-128,217.68969249725342,215.76634168624878,216.83651793003082,216.14643615484238,217.45413041114807,215.5508982539177,218.45403909683228,215.33265560865402,216.8653616309166,214.7799317240715,216.1545460820198,214.76439690589905,214.03429996967316
